,Season,Number of Games
0,1946–47,60–61
1,1947–48,48
2,1948–49,60
3,1949–50,62–68
4,1950–51,66–69
5,1951–52,66
6,1952–53,69–71
7,1953–54,72
8,1954–55,72
9,1955–56,72
10,1956–57,72
11,1957–58,72
12,1958–59,72
13,1959–60,75
14,1960–61,79
15,1961–62,80
16,1962–63,80
17,1963–64,80
18,1964–65,80
19,1965–66,80
20,1966–67,81
21,1967–68,82
22,1968–69,82
23,1969–70,82
24,1970–71,82
25,1971–72,82
26,1972–73,82
27,1973–74,82
28,1974–75,82
29,1975–76,82
30,1976–77,82
31,1977–78,82
32,1978–79,82
33,1979–80,82
34,1980–81,82
35,1981–82,82
36,1982–83,82
37,1983–84,82
38,1984–85,82
39,1985–86,82
40,1986–87,82
41,1987–88,82
42,1988–89,82
43,1989–90,82
44,1990–91,82
45,1991–92,82
46,1992–93,82
47,1993–94,82
48,1994–95,82
49,1995–96,82
50,1996–97,82
51,1997–98,82
52,1998–99,50
53,1999–2000,82
54,2000–01,82
55,2001–02,82
56,2002–03,82
57,2003–04,82
58,2004–05,82
59,2005–06,82
60,2006–07,82
61,2007–08,82
62,2008–09,82
63,2009–10,82
64,2010–11,82
65,2011–12,66
66,2012–13,82
67,2013–14,82
68,2014–15,82
69,2015–16,82
70,2016–17,82
71,2017–18,82
72,2018–19,82
